7.23,4. Exit browser, 2020-06-05 17:53:52
7.24,4. Exit browser, 2020-06-05 18:10:05
6.905,4. Exit browser, 2020-06-05 18:15:24
7.128,4. Exit browser, 2020-06-05 18:20:06
8.136,4. Exit browser, 2020-06-05 18:31:05
5.431,1. Open the Chrome and launch the application, 2020-06-05 18:51:47
5.712,1. Open the Chrome and launch the application, 2020-06-05 18:54:17
5.532,1. Open the Chrome and launch the application, 2020-06-05 18:59:09
5.868,1. Open the Chrome and launch the application, 2020-06-06 09:55:00
5.413,1. Open the Chrome and launch the application, 2020-06-06 10:06:07
5.575,1. Open the Chrome and launch the application, 2020-06-06 10:07:25
5.289,1. Open the Chrome and launch the application, 2020-06-06 10:14:35
5.698,1. Open the Chrome and launch the application, 2020-06-06 10:38:42
6.514,4. Exit browser, 2020-06-06 10:57:31
6.468,4. Exit browser, 2020-06-06 10:57:54
6.432,4. Exit browser, 2020-06-06 10:59:59
6.564,4. Exit browser, 2020-06-06 11:10:03
6.944,4. Exit browser, 2020-06-06 11:12:22
9.602,4. Exit browser, 2020-06-06 11:13:30
6.822,4. Exit browser, 2020-06-06 11:15:01
6.865,4. Exit browser, 2020-06-06 11:25:31
6.493,4. Exit browser, 2020-06-06 11:26:51
6.501,4. Exit browser, 2020-06-06 11:34:24
6.396,4. Exit browser, 2020-06-06 11:36:06
7.682,4. Exit browser, 2020-06-06 11:38:47
8.015,4. Exit browser, 2020-06-07 10:45:45
5.264,1. Open the Chrome and launch the application, 2020-06-07 10:46:19
6.996,4. Exit browser, 2020-06-07 10:50:14
5.406,1. Open the Chrome and launch the application, 2020-06-07 10:50:55
7.239,1. Open the Chrome and launch the application, 2020-06-07 10:54:09
0.0,null, 2020-06-07 11:03:17
0.0,4. Exit browser, 2020-06-07 11:05:59
0.0,4. Exit browser, 2020-06-07 11:10:25
0.0,4. Exit browser, 2020-06-07 11:11:25
0.0,4. Exit browser, 2020-06-07 11:13:12
0.0,4. Exit browser, 2020-06-07 11:16:13
0.0,4. Exit browser, 2020-06-07 11:19:43
0.0,4. Exit browser, 2020-06-07 11:23:18
0.0,4. Exit browser, 2020-06-07 11:25:33
0.0,4. Exit browser, 2020-06-07 11:27:43
6.478,4. Exit browser, 2020-06-07 11:32:10
7.618,4. Exit browser, 2020-06-07 11:35:48
8.167,4. Exit browser, 2020-06-07 11:36:46
6.497,4. Exit browser, 2020-06-07 11:37:14
7.264,4. Exit browser, 2020-06-07 11:37:40
6.347,4. Exit browser, 2020-06-07 11:38:09
6.572,4. Exit browser, 2020-06-07 11:38:34
6.324,4. Exit browser, 2020-06-07 11:39:00
7.633,4. Exit browser, 2020-06-07 11:39:26
6.444,4. Exit browser, 2020-06-07 11:39:54
6.631,4. Exit browser, 2020-06-07 11:40:19
6.65,4. Exit browser, 2020-06-07 11:40:47
7.811,4. Exit browser, 2020-06-07 12:18:07
7.006,4. Exit browser, 2020-06-07 12:20:50
6.815,4. Exit browser, 2020-06-07 12:41:22
13.224,4.Log out and exit browser, 2020-06-07 12:41:30
14.209,4.Log out and exit browser, 2020-06-07 12:43:51
6.966,4. Exit browser, 2020-06-07 12:46:11
13.216,4.Log out and exit browser, 2020-06-07 12:46:20
7.039,4. Exit browser, 2020-06-07 13:06:43
12.049,8. Log out and exit browser, 2020-06-07 13:06:52
6.608,4. Exit browser, 2020-06-07 13:08:55
15.252,8. Log out and exit browser, 2020-06-07 13:09:03
7.511,4. Exit browser, 2020-06-07 14:10:33
12.745,8. Log out and exit browser, 2020-06-07 14:10:42
15.96,8. Log out and exit browser, 2020-06-07 15:04:38
14.935,8. Log out and exit browser, 2020-06-07 15:07:20
9.113,8. Log out and exit browser, 2020-06-07 15:16:42
14.058,8. Log out and exit browser, 2020-06-07 15:18:17
12.945,8. Log out and exit browser, 2020-06-07 15:37:51
6.972,4. Exit browser, 2020-06-07 15:58:48
12.282,8. Log out and exit browser, 2020-06-07 15:58:57
7.787,4. Exit browser, 2020-06-07 18:54:34
15.124,8. Log out and exit browser, 2020-06-07 18:54:44
